Tag Name,Address,Data Type,Client Access,Description
quat1Out,1,Bool,ReadWrite,
quat2Out,2,Bool,ReadWrite,
quat3Out,3,Bool,ReadWrite,
quat4Out,4,Bool,ReadWrite,
quat5Out,5,Bool,ReadWrite,
quat6Out,6,Bool,ReadWrite,
quat7Out,7,Bool,ReadWrite,
quat8Out,8,Bool,ReadWrite,
quat9Out,9,Bool,ReadWrite,
quat10Out,10,Bool,ReadWrite,
danMatOut,11,Bool,ReadWrite,
autoManual,12,Bool,ReadWrite,
chayDuPhong,13,Bool,ReadWrite,
quaTai,14,Bool,ReadWrite,
resetNgay,15,Bool,ReadWrite,
quat1Status,16,Bool,ReadWrite,
quat2Status,17,Bool,ReadWrite,
quat3Status,18,Bool,ReadWrite,
quat4Status,19,Bool,ReadWrite,
quat5Status,20,Bool,ReadWrite,
quat6Status,21,Bool,ReadWrite,
quat7Status,22,Bool,ReadWrite,
quat8Status,23,Bool,ReadWrite,
quat9Status,24,Bool,ReadWrite,
quat10Status,25,Bool,ReadWrite,
danMatStatus,26,Bool,ReadWrite,
nhietDoHienTai,40001,Word,ReadWrite,
doAmHienTai,40002,Word,ReadWrite,
oxiHienTai,40003,Word,ReadWrite,
nh3HienTai,40004,Word,ReadWrite,
tanSoHienTai,40005,Word,ReadWrite,
tanSoCaiDat,40006,Word,ReadWrite,
deadbandNhietDo,40007,Word,ReadWrite,
moc1TuNgay,40008,Word,ReadWrite,
moc1DenNgay,40009,Word,ReadWrite,
moc1SoQuatChayCoDinh,40010,Word,ReadWrite,
moc1NhietDoCao,40011,Word,ReadWrite,
moc1NhietDoThap,40012,Word,ReadWrite,
moc1TanSoCao,40013,Word,ReadWrite,
moc1TanSoThap,40014,Word,ReadWrite,
moc1NhietDoQuat1,40015,Word,ReadWrite,
moc1NhietDoQuat2,40016,Word,ReadWrite,
moc1NhietDoQuat3,40017,Word,ReadWrite,
moc1NhietDoQuat4,40018,Word,ReadWrite,
moc1NhietDoQuat5,40019,Word,ReadWrite,
moc1NhietDoQuat6,40020,Word,ReadWrite,
moc1NhietDoQuat7,40021,Word,ReadWrite,
moc1NhietDoQuat8,40022,Word,ReadWrite,
moc1NhietDoQuat9,40023,Word,ReadWrite,
moc1NhietDoQuat10,40024,Word,ReadWrite,
moc2TuNgay,40025,Word,ReadWrite,
moc2DenNgay,40026,Word,ReadWrite,
moc2SoQuatChayCoDinh,40027,Word,ReadWrite,
moc2NhietDoCao,40028,Word,ReadWrite,
moc2NhietDoThap,40029,Word,ReadWrite,
moc2TanSoCao,40030,Word,ReadWrite,
moc2TanSoThap,40031,Word,ReadWrite,
moc2NhietDoQuat1,40032,Word,ReadWrite,
moc2NhietDoQuat2,40033,Word,ReadWrite,
moc2NhietDoQuat3,40034,Word,ReadWrite,
moc2NhietDoQuat4,40035,Word,ReadWrite,
moc2NhietDoQuat5,40036,Word,ReadWrite,
moc2NhietDoQuat6,40037,Word,ReadWrite,
moc2NhietDoQuat7,40038,Word,ReadWrite,
moc2NhietDoQuat8,40039,Word,ReadWrite,
moc2NhietDoQuat9,40040,Word,ReadWrite,
moc2NhietDoQuat10,40041,Word,ReadWrite,
moc3TuNgay,40042,Word,ReadWrite,
moc3DenNgay,40043,Word,ReadWrite,
moc3SoQuatChayCoDinh,40044,Word,ReadWrite,
moc3NhietDoCao,40045,Word,ReadWrite,
moc3NhietDoThap,40046,Word,ReadWrite,
moc3TanSoCao,40047,Word,ReadWrite,
moc3TanSoThap,40048,Word,ReadWrite,
moc3NhietDoQuat1,40049,Word,ReadWrite,
moc3NhietDoQuat2,40050,Word,ReadWrite,
moc3NhietDoQuat3,40051,Word,ReadWrite,
moc3NhietDoQuat4,40052,Word,ReadWrite,
moc3NhietDoQuat5,40053,Word,ReadWrite,
moc3NhietDoQuat6,40054,Word,ReadWrite,
moc3NhietDoQuat7,40055,Word,ReadWrite,
moc3NhietDoQuat8,40056,Word,ReadWrite,
moc3NhietDoQuat9,40057,Word,ReadWrite,
moc3NhietDoQuat10,40058,Word,ReadWrite,
moc4TuNgay,40059,Word,ReadWrite,
moc4DenNgay,40060,Word,ReadWrite,
moc4SoQuatChayCoDinh,40061,Word,ReadWrite,
moc4NhietDoCao,40062,Word,ReadWrite,
moc4NhietDoThap,40063,Word,ReadWrite,
moc4TanSoCao,40064,Word,ReadWrite,
moc4TanSoThap,40065,Word,ReadWrite,
moc4NhietDoQuat1,40066,Word,ReadWrite,
moc4NhietDoQuat2,40067,Word,ReadWrite,
moc4NhietDoQuat3,40068,Word,ReadWrite,
moc4NhietDoQuat4,40069,Word,ReadWrite,
moc4NhietDoQuat5,40070,Word,ReadWrite,
moc4NhietDoQuat6,40071,Word,ReadWrite,
moc4NhietDoQuat7,40072,Word,ReadWrite,
moc4NhietDoQuat8,40073,Word,ReadWrite,
moc4NhietDoQuat9,40074,Word,ReadWrite,
moc4NhietDoQuat10,40075,Word,ReadWrite,
moc5TuNgay,40076,Word,ReadWrite,
moc5DenNgay,40077,Word,ReadWrite,
moc5SoQuatChayCoDinh,40078,Word,ReadWrite,
moc5NhietDoCao,40079,Word,ReadWrite,
moc5NhietDoThap,40080,Word,ReadWrite,
moc5TanSoCao,40081,Word,ReadWrite,
moc5TanSoThap,40082,Word,ReadWrite,
moc5NhietDoQuat1,40083,Word,ReadWrite,
moc5NhietDoQuat2,40084,Word,ReadWrite,
moc5NhietDoQuat3,40085,Word,ReadWrite,
moc5NhietDoQuat4,40086,Word,ReadWrite,
moc5NhietDoQuat5,40087,Word,ReadWrite,
moc5NhietDoQuat6,40088,Word,ReadWrite,
moc5NhietDoQuat7,40089,Word,ReadWrite,
moc5NhietDoQuat8,40090,Word,ReadWrite,
moc5NhietDoQuat9,40091,Word,ReadWrite,
moc5NhietDoQuat10,40092,Word,ReadWrite,
moc6TuNgay,40093,Word,ReadWrite,
moc6DenNgay,40094,Word,ReadWrite,
moc6SoQuatChayCoDinh,40095,Word,ReadWrite,
moc6NhietDoCao,40096,Word,ReadWrite,
moc6NhietDoThap,40097,Word,ReadWrite,
moc6TanSoCao,40098,Word,ReadWrite,
moc6TanSoThap,40099,Word,ReadWrite,
moc6NhietDoQuat1,40100,Word,ReadWrite,
moc6NhietDoQuat2,40101,Word,ReadWrite,
moc6NhietDoQuat3,40102,Word,ReadWrite,
moc6NhietDoQuat4,40103,Word,ReadWrite,
moc6NhietDoQuat5,40104,Word,ReadWrite,
moc6NhietDoQuat6,40105,Word,ReadWrite,
moc6NhietDoQuat7,40106,Word,ReadWrite,
moc6NhietDoQuat8,40107,Word,ReadWrite,
moc6NhietDoQuat9,40108,Word,ReadWrite,
moc6NhietDoQuat10,40109,Word,ReadWrite,
moc7TuNgay,40110,Word,ReadWrite,
moc7DenNgay,40111,Word,ReadWrite,
moc7SoQuatChayCoDinh,40112,Word,ReadWrite,
moc7NhietDoCao,40113,Word,ReadWrite,
moc7NhietDoThap,40114,Word,ReadWrite,
moc7TanSoCao,40115,Word,ReadWrite,
moc7TanSoThap,40116,Word,ReadWrite,
moc7NhietDoQuat1,40117,Word,ReadWrite,
moc7NhietDoQuat2,40118,Word,ReadWrite,
moc7NhietDoQuat3,40119,Word,ReadWrite,
moc7NhietDoQuat4,40120,Word,ReadWrite,
moc7NhietDoQuat5,40121,Word,ReadWrite,
moc7NhietDoQuat6,40122,Word,ReadWrite,
moc7NhietDoQuat7,40123,Word,ReadWrite,
moc7NhietDoQuat8,40124,Word,ReadWrite,
moc7NhietDoQuat9,40125,Word,ReadWrite,
moc7NhietDoQuat10,40126,Word,ReadWrite,
ngayHienTai,40127,Word,ReadWrite,
offsetNhietDo,40128,Word,ReadWrite,
ngayCu,40129,Word,ReadWrite,
giaiDoanHienTai,40130,Word,ReadWrite,
co2HienTai,40131,Word,ReadWrite,
